Equipo,Posicion,Puntos,Partidos_jugados,Partidos_ganados,Partidos_empatados,Partidos_perdidos,Goles_favor,Goles_contra,Diferencia_goles
Racing de Santander,1º,44,23,13,5,5,50,32,18
CD Castellón,2º,39,23,11,6,6,36,25,11
Málaga CF,3º,38,23,11,5,7,35,26,9
UD Las Palmas,4º,38,23,10,8,5,28,19,9
RC Deportivo,5º,37,23,10,7,6,37,26,11
UD Almería,6º,36,23,10,6,7,41,33,8
Real Sporting,7º,36,23,11,3,9,33,31,2
Córdoba CF,8º,35,23,9,8,6,29,26,3
Burgos CF,9º,35,23,10,5,8,26,23,3
AD Ceuta FC,10º,35,23,10,5,8,28,30,-2
Cádiz CF,11º,34,23,9,7,7,26,26,0
Albacete BP,12º,30,23,8,6,9,28,34,-6
CD Leganés,13º,29,23,7,8,8,25,23,2
FC Andorra,14º,29,23,7,8,8,26,31,-5
Real Valladolid,15º,28,23,7,7,9,24,24,0
SD Eibar,16º,28,23,7,7,9,24,26,-2
Granada CF,17º,26,23,5,11,7,25,28,-3
Cultural Leonesa,18º,25,23,7,4,12,25,37,-12
Real Sociedad B,19º,24,23,6,6,11,29,33,-4
SD Huesca,20º,24,23,6,6,11,21,32,-11
Real Zaragoza,21º,22,23,5,7,11,21,35,-14
CD Mirandés,22º,17,23,4,5,14,23,40,-17
