Equipo,Valor_Mercado,Lesionados,Estadio,Capacidad,Ciudad
UD Almería,45550000,0,UD Almería Stadium,18331,Almería
UD Las Palmas,44400000,0,Estadio de Gran Canaria,32400,Las Palmas de Gran Canaria
Cádiz CF,24800000,0,Nuevo Mirandilla,20724,Cádiz
CD Leganés,23900000,1,Ontime Butarque,13089,Leganés
Granada CF,21900000,1,Nuevo Los Cármenes,19336,Granada
Burgos CF,20400000,0,El Plantío,12194,Burgos
Real Zaragoza,20250000,0,Ibercaja Estadio,20103,Zaragoza
Málaga CF,17600000,0,La Rosaleda,30044,Málaga
FC Andorra,17250000,0,Nou Estadi d'Encamp,5600,Andorra la Vieja
CD Castellón,17200000,0,Skyfi Castalia,15500,Castellón de la Plana
CD Mirandés,17000000,0,Anduva,5759,Miranda de Ebro
SD Eibar,16850000,0,Ipurúa,8164,Éibar
Córdoba CF,16300000,0,Bahrain Victorious Nuevo Arcángel,21822,Córdoba
SD Huesca,14550000,1,El Alcoraz,9128,Huesca
AD Ceuta FC,11950000,0,Alfonso Murube,6500,Ceuta
Cultural Leonesa,11850000,0,Reino de León,13346,León
Real Sociedad B,10500000,2,Estadio Zubieta,2500,San Sebastián
RC Deportivo,52600000,0,Abanca-Riazor,32490,La Coruña
Racing de Santander,47730000,0,El Sardinero,21514,Santander
Real Valladolid,30800000,0,José Zorrilla,27618,Valladolid
Real Sporting,26400000,1,El Molinón,30000,Gijón
Albacete BP,13200000,0,Carlos Belmonte,18000,Albacete
